Data,QUANTIDADE
2024-12-02 00:00:00,46
2024-12-03 00:00:00,68
2024-12-04 00:00:00,33
2024-12-05 00:00:00,51
2024-12-06 00:00:00,54
2024-12-07 00:00:00,16
2024-12-09 00:00:00,77
2024-12-10 00:00:00,73
2024-12-11 00:00:00,96
2024-12-12 00:00:00,81
2024-12-13 00:00:00,79
2024-12-14 00:00:00,26
2024-12-16 00:00:00,90
2024-12-17 00:00:00,76
2024-12-18 00:00:00,99
2024-12-19 00:00:00,91
2024-12-20 00:00:00,72
2024-12-21 00:00:00,57
2024-12-23 00:00:00,87
2024-12-24 00:00:00,437
2024-12-25 00:00:00,456
2024-12-27 00:00:00,130
2024-12-28 00:00:00,125
2024-12-30 00:00:00,109
2024-12-31 00:00:00,394
2025-01-01 00:00:00,407
2025-01-02 00:00:00,74
2025-01-03 00:00:00,54
2025-01-04 00:00:00,22
2025-01-06 00:00:00,80
2025-01-07 00:00:00,123
2025-01-08 00:00:00,195
2025-01-09 00:00:00,80
2025-01-10 00:00:00,57
2025-01-11 00:00:00,33
2025-01-13 00:00:00,18
2025-01-14 00:00:00,60
2025-01-15 00:00:00,69
2025-01-16 00:00:00,29
2025-01-17 00:00:00,58
2025-01-18 00:00:00,16
2025-01-20 00:00:00,86
2025-01-21 00:00:00,71
2025-01-22 00:00:00,55
2025-01-23 00:00:00,57
2025-01-24 00:00:00,47
2025-01-25 00:00:00,24
2025-01-27 00:00:00,68
2025-01-28 00:00:00,47
2025-01-29 00:00:00,43
2025-01-30 00:00:00,47
2025-01-31 00:00:00,32
2025-02-01 00:00:00,17
2025-02-03 00:00:00,72
2025-02-04 00:00:00,38
2025-02-05 00:00:00,40
2025-02-06 00:00:00,63
